seqid,eventid,item
1,1,1
1,2,1
1,3,3
1,4,3
1,5,4
1,6,4
1,7,4
1,8,1
1,9,4
1,10,1
1,11,2
1,12,2
1,13,4
1,14,4
1,15,2
1,16,2
1,17,2
1,18,1
1,19,3
1,20,3
1,21,4
1,22,1
1,23,1
1,24,2
1,25,1
1,26,1
1,27,1
1,28,2
1,29,2
1,30,1
1,31,1
1,32,2
1,33,2
1,34,1
1,35,1
1,36,2
1,37,4
1,38,4
1,39,4
1,40,2
1,41,3
1,42,1
1,43,4
1,44,2
1,45,4
1,46,2
1,47,4
1,48,4
1,49,3
1,50,4
1,51,1
1,52,3
1,53,1
1,54,4
1,55,2
1,56,4
1,57,3
1,58,4
1,59,4
1,60,2
2,1,4
2,2,2
2,3,4
2,4,1
2,5,1
2,6,1
2,7,2
2,8,3
2,9,1
2,10,1
2,11,2
2,12,4
2,13,4
2,14,4
2,15,1
2,16,1
2,17,1
2,18,1
2,19,4
2,20,2
2,21,4
2,22,3
2,23,4
2,24,3
2,25,4
2,26,3
2,27,3
2,28,2
2,29,4
2,30,3
2,31,4
2,32,2
2,33,1
2,34,2
2,35,4
2,36,2
2,37,3
2,38,3
2,39,2
2,40,4
2,41,3
2,42,2
2,43,1
2,44,4
2,45,3
2,46,2
2,47,4
2,48,4
2,49,1
2,50,3
2,51,4
2,52,3
2,53,2
2,54,1
2,55,2
2,56,4
2,57,2
2,58,1
2,59,2
2,60,3
3,1,2
3,2,1
3,3,3
3,4,4
3,5,1
3,6,4
3,7,1
3,8,1
3,9,4
3,10,4
3,11,1
3,12,1
3,13,4
3,14,1
3,15,1
3,16,2
3,17,4
3,18,1
3,19,1
3,20,4
3,21,4
3,22,1
3,23,2
3,24,4
3,25,3
3,26,4
3,27,2
3,28,3
3,29,4
3,30,4
3,31,3
3,32,1
3,33,2
3,34,1
3,35,3
3,36,3
3,37,1
3,38,2
3,39,1
3,40,2
3,41,3
3,42,1
3,43,3
3,44,4
3,45,1
3,46,1
3,47,2
3,48,4
3,49,2
3,50,3
3,51,4
3,52,2
3,53,4
3,54,1
3,55,4
3,56,2
3,57,4
3,58,4
3,59,2
3,60,4
4,1,3
4,2,2
4,3,1
4,4,3
4,5,3
4,6,2
4,7,4
4,8,3
4,9,2
4,10,4
4,11,4
4,12,1
4,13,2
4,14,3
4,15,3
4,16,4
4,17,4
4,18,4
4,19,2
4,20,3
4,21,4
4,22,2
4,23,2
4,24,3
4,25,4
4,26,3
4,27,4
4,28,4
4,29,3
4,30,2
4,31,1
4,32,3
4,33,2
4,34,2
4,35,3
4,36,1
4,37,4
4,38,2
4,39,1
4,40,4
4,41,2
4,42,1
4,43,3
4,44,2
4,45,1
4,46,2
4,47,1
4,48,4
4,49,2
4,50,4
4,51,1
4,52,3
4,53,3
4,54,4
4,55,4
4,56,4
4,57,4
4,58,3
4,59,4
4,60,2
5,1,2
5,2,3
5,3,3
5,4,3
5,5,4
5,6,3
5,7,4
5,8,3
5,9,1
5,10,2
5,11,2
5,12,3
5,13,1
5,14,1
5,15,1
5,16,3
5,17,3
5,18,4
5,19,1
5,20,1
5,21,3
5,22,1
5,23,4
5,24,3
5,25,3
5,26,1
5,27,3
5,28,1
5,29,3
5,30,2
5,31,2
5,32,4
5,33,4
5,34,3
5,35,4
5,36,2
5,37,2
5,38,2
5,39,4
5,40,3
5,41,3
5,42,4
5,43,4
5,44,4
5,45,2
5,46,1
5,47,1
5,48,2
5,49,3
5,50,1
5,51,3
5,52,1
5,53,1
5,54,1
5,55,1
5,56,2
5,57,1
5,58,2
